repo,file_path,language,framework,matched_keywords,html_url
gemwalletcom/gem-ios,Features/Contacts/Sources/ViewModels/ManageContactViewModel.swift,Swift,Mixed (SwiftUI + UIKit),import SwiftUI; import UIKit,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/ViewModels/ManageContactViewModel.swift
gemwalletcom/gem-ios,Features/EventPresenterService/Sources/Presenters/ToastEventPresenter.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/EventPresenterService/Sources/Presenters/ToastEventPresenter.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Navigation/FiatConnectNavigationView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationView; NavigationStack,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Navigation/FiatConnectNavigationView.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Scenes/FiatScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; HStack; List {; ForEach(; ViewBuilder; .padding(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Scenes/FiatScene.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Scenes/FiatTransactionsScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; List {; ForEach(; .padding(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Scenes/FiatTransactionsScene.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Types/FiatCurrencyInputConfig.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Types/FiatCurrencyInputConfig.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/ViewModels/FiatOperationViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/ViewModels/FiatOperationViewModel.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/ViewModels/FiatQuoteViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/ViewModels/FiatQuoteViewModel.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/ViewModels/FiatSceneViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/ViewModels/FiatSceneViewModel.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Views/FiatTypeToolbar.swift,Swift,SwiftUI,import SwiftUI; @Binding; .frame(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Views/FiatTypeToolbar.swift
gemwalletcom/gem-ios,Features/FiatConnect/Sources/Views/RandomOverlayView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/FiatConnect/Sources/Views/RandomOverlayView.swift
gemwalletcom/gem-ios,Features/InAppNotifications/Sources/Scenes/InAppNotificationsScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; List {; ForEach(; ViewBuilder,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InAppNotifications/Sources/Scenes/InAppNotificationsScene.swift
gemwalletcom/gem-ios,Features/InAppNotifications/Sources/ViewModels/InAppNotificationsViewModel.swift,Swift,UIKit,import UIKit,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InAppNotifications/Sources/ViewModels/InAppNotificationsViewModel.swift
gemwalletcom/gem-ios,Features/InfoSheet/Sources/Factory/InfoSheetModelFactory.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/InfoSheet/Sources/Factory/InfoSheetModelFactory.swift
